title_clean,year,grade
MARY POPPINS RETURNS,2018,A-
MARY REILLY,1996,C
MARY SHELLEY'S FRANKENSTEIN,1994,B-
"MASK OF ZORRO, THE",1998,A-
"MASK, THE",1994,B+
MASQUERADE,1988,B
MASTER AND COMMANDER: THE FAR SIDE OF THE WORLD,2003,B+
"MASTER OF DISGUISE, THE",2002,B-
MASTERMINDS,1997,B-
MASTERMINDS,2016,B-
"MATADOR, THE",2006,C+
MATCH POINT,2006,B-
MATCHSTICK MEN,2003,B
MATERIAL GIRLS,2006,B-
MATILDA,1996,B+
MATINEE,1992,B-
"MATRIX, THE",1999,A-
"MATRIX: RELOADED, THE",2003,B+
"MATRIX: REVOLUTIONS, THE",2003,B
MAVERICK,1994,A-
MAX,2015,A
MAX KEEBLE'S BIG MOVE,2001,B
MAX PAYNE,2008,C
MAX STEEL,2016,B
MAXIMUM OVERDRIVE,1986,D+
MAXIMUM RISK,1996,B-
"MAZE RUNNER, THE",2014,A-
MAZE RUNNER: THE DEATH CURE,2018,B+
MAZE RUNNER: THE SCORCH TRIALS,2015,B+
"MC FARLAND, USA",2015,A
MC HALE'S NAVY,1997,C+
ME BEFORE YOU,2016,A
"ME, MYSELF & IRENE",2000,B-
MEAN GIRLS,2004,A-
"MECHANIC, THE",2011,B-
MECHANIC: RESURRECTION,2016,B+
"MEDALLION, THE",2003,B
MEDICINE MAN,1992,B+
MEET DAVE,2008,B
MEET JOE BLACK,1998,A-
MEET THE FOCKERS,2004,B+
MEET THE PARENTS,2000,A-
MEET THE ROBINSONS,2007,A-
MEET THE SPARTANS,2008,C-
MEET WALLY SPARKS,1997,C+
"MEG, THE",2018,B+
MEGAMIND,2010,A-
MEGAN LEAVEY,2017,A
MEMOIRS OF A GEISHA,2005,B+
MEMOIRS OF AN INVISIBLE MAN,1992,B
MEMORIES OF ME,1988,B+
MEMPHIS BELLE,1990,A
MEN DON'T LEAVE,1990,B
MEN IN BLACK,1997,B+
MEN IN BLACK 3,2012,B+
MEN IN BLACK II,2002,B+
MEN IN BLACK: INTERNATIONAL,2019,B
MEN OF HONOR,2000,A
MERCURY RISING,1998,B
MERMAIDS,1990,B
MESSAGE IN A BOTTLE,1999,B+
"MESSENGER: THE STORY OF JOAN OF ARC, THE",1999,B-
"MESSENGERS, THE",2007,C-
METEOR MAN,1993,A-
METRO,1997,B+
"MEXICAN, THE",2001,C
MIAMI BLUES,1990,C
MIAMI RHAPSODY,1995,B+
MIAMI VICE,2006,B-
MICHAEL,1996,A-
MICHAEL CLAYTON,2007,B
MICHAEL COLLINS,1996,B+
MICKEY BLUE EYES,1999,B-
MIDDLE SCHOOL: THE WORST YEARS OF MY LIFE,2016,A-
MIDNIGHT IN THE GARDEN OF GOOD AND EVIL,1997,C+
MIDNIGHT RUN,1988,A
MIDNIGHT SUN,2018,A-
MIDSOMMAR,2019,C+
"MIDSUMMER NIGHT'S DREAM, A",1999,B
MIGHTY APHRODITE,1995,B+
"MIGHTY DUCKS, THE",1992,A
MIGHTY JOE YOUNG,1998,B+
MIGHTY MORPHIN POWER RANGERS THE MOVIE,1995,A-
"MIGHTY, THE",1998,A-
MIKE AND DAVE NEED WEDDING DATES,2016,B
"MILAGRO BEANFIELD WAR, THE",1988,A-
MILE 22,2018,B-
MILK MONEY,1994,B+
MILLENNIUM,1989,C-
MILLER'S CROSSING,1990,C-
MILLION DOLLAR ARM,2014,A-
MILLION DOLLAR BABY,2005,A
"MILLION WAYS TO DIE IN THE WEST, A",2014,B
MIMIC,1997,C-
MINDHUNTERS,2005,C
MINIONS,2015,A
MINORITY REPORT,2002,B+
MIRACLE,2004,A
MIRACLE ON 34TH STREET,1994,A
"MIRACLE SEASON, THE",2018,A
MIRACLES FROM HEAVEN,2016,A+
"MIRROR HAS TWO FACES, THE",1996,A-
MIRROR MIRROR,2012,B+
MIRRORS,2008,C
MISERY,1990,A-
MISS BALA,2019,B
MISS CONGENIALITY,2000,A-
MISS CONGENIALITY 2: ARMED AND FABULOUS,2005,B
MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN,2016,B+
MISS SLOANE,2016,A-
MISSING LINK,2019,B+
"MISSING, THE",2003,B
MISSION IMPOSSIBLE,1996,B+
MISSION TO MARS,2000,C-
"MISSION, THE",1986,A-
MISSION: IMPOSSIBLE - FALLOUT,2018,A
MISSION: IMPOSSIBLE - ROGUE NATION,2015,A-
MISSION: IMPOSSIBLE 2,2000,B
MISSION: IMPOSSIBLE III,2006,A-
MISSION: IMPOSSIBLE- GHOST PROTOCOL,2011,A-
MISSISSIPPI BURNING,1988,A
"MIST, THE",2007,C
MIXED NUTS,1994,C+
MO' BETTER BLUES,1990,A
MO' MONEY,1992,B
MOANA,2016,A
MOBSTERS,1991,B
"MOD SQUAD, THE",1999,C-
MOLL FLANDERS,1996,B+
MONA LISA SMILE,2003,B
MONEY MONSTER,2016,B+
"MONEY PIT, THE",1986,C+
MONEY TALKS,1997,A
MONEY TRAIN,1995,B+
MONEYBALL,2011,A
MONKEY KINGDOM,2015,A-
MONKEY SHINES,1988,B
MONKEYBONE,2001,C
"MONSTER CALLS, A",2017,A
MONSTER HOUSE,2006,B
"MONSTER SQUAD, THE",1987,B+
MONSTER TRUCKS,2017,A
MONSTER-IN-LAW,2005,B+
MONSTERS UNIVERSITY,2013,A
MONSTERS VS. ALIENS,2009,A-
"MONSTERS, INC.",2001,A+
MONTE CARLO,2011,A-
"MONUMENTS MEN, THE",2014,B+
MOON OVER PARADOR,1988,B-
MOONSTRUCK,1987,A-
MORGAN,2016,C+
"MORNING AFTER, THE",1986,C+
MORNING GLORY,2010,B
MORTAL ENGINES,2018,B-
"MORTAL INSTRUMENTS: CITY OF BONES, THE",2013,B+
MORTAL KOMBAT,1995,A-
MORTAL KOMBAT ANNIHILATION,1997,C+
MORTAL THOUGHTS,1991,C
MORTDECAI,2015,C+
MOSQUITO COAST,1986,B-
MOST WANTED,1997,C+
MOTHER,1996,B+
MOTHER!,2017,F
MOTHER'S DAY,2016,B+
"MOTHMAN PROPHECIES, THE",2002,C+
MOULIN ROUGE,2001,B+
"MOUNTAIN BETWEEN US, THE",2017,A-
MOUSEHUNT,1997,B
MOVIE 43,2013,D
MOVING,1988,C+
MR. 3000,2004,B
MR. AND MRS. SMITH,2005,B+
MR. BASEBALL,1992,B+
MR. BEAN'S HOLIDAY,2007,B
MR. BROOKS,2007,B-
MR. DEEDS,2002,A-
MR. DESTINY,1990,B+
MR. HOLLAND'S OPUS,1995,A+
MR. JONES,1993,B-
MR. MAGOO,1997,B
MR. MAGORIUM'S WONDER EMPORIUM,2007,B+
MR. NICE GUY,1998,B
MR. PEABODY & SHERMAN,2014,A
MR. POPPER'S PENGUINS,2011,A-
MR. SATURDAY NIGHT,1992,A-
MR. WONDERFUL,1993,B
MR. WOODCOCK,2007,B-
MR. WRONG,1996,C-
MRS. DOUBTFIRE,1993,A
MRS. WINTERBOURNE,1996,B
MULAN,1998,A+
"MULE, THE",2018,A-
MULHOLLAND FALLS,1996,C+
MULTIPLICITY,1996,B+
MUMFORD,1999,C+
"MUMMY, THE",2017,B-
"MUMMY RETURNS, THE",2001,A-
"MUMMY, THE",1999,B
"MUMMY: TOMB OF THE DRAGON EMPEROR, THE",2008,B-
MUNICH,2005,B+
"MUPPET CHRISTMAS CAROL, THE",1992,A
MUPPET TREASURE ISLAND,1996,A-
MUPPETS FROM SPACE,1999,A-
MUPPETS MOST WANTED,2014,B+
"MUPPETS, THE",2011,A
MURDER AT 1600,1997,B+
MURDER BY NUMBERS,2002,C+
MURDER IN THE FIRST,1995,A-
MURDER ON THE ORIENT EXPRESS,2017,B
"MUSE, THE",1999,B
MUSIC AND LYRICS,2007,B
MUSIC BOX,1989,B+
MUSIC OF THE HEART,1999,A+
"MUSKETEER, THE",2001,C
MUST LOVE DOGS,2005,B+
MY ALL AMERICAN,2015,A
MY BABY'S DADDY,2004,B+
MY BEST FRIEND'S GIRL,2008,B-
MY BEST FRIEND'S WEDDING,1997,A-
MY BIG FAT GREEK WEDDING 2,2016,A-
MY BLOODY VALENTINE 3-D,2009,C+
MY BLUE HEAVEN,1990,B-
MY BOSS'S DAUGHTER,2003,B-
MY BOYFRIEND'S BACK,1993,C-
MY COUSIN VINNY,1992,A-
MY DOG SKIP,1999,A
MY FATHER THE HERO,1994,A-
MY FAVORITE MARTIAN,1999,B
MY FELLOW AMERICANS,1996,B+
MY GIANT,1998,B
MY GIRL,1991,A-
MY GIRL 2,1994,B+
MY LIFE,1993,A
MY LITTLE PONY: THE MOVIE,2017,A-
MY SISTER'S KEEPER,2009,A-
MY SOUL TO TAKE,2010,D
MY STEPMOTHER IS AN ALIEN,1988,B-
MY SUPER EX-GIRLFRIEND,2006,C+
MYSTERY MEN,1999,C+
"MYSTERY, ALASKA",1999,A-
MYSTIC RIVER,2003,B+
NACHO LIBRE,2006,B+
NADINE,1987,B
NAKED GUN 2 1/2,1991,B+
NAKED GUN 33 1/3,1994,B+
"NAKED GUN, THE",1988,A-
"NAME OF THE ROSE, THE",1986,B+
NANCY DREW,2007,A-
"NANNY DIARIES, THE",2007,B-
NANNY McPHEE,2006,A-
NANNY McPHEE RETURNS,2010,A-
NARC,2002,B-
NARROW MARGIN,1990,B+
NATIONAL LAMPOON'S CHRISTMAS VACATION,1989,B+
NATIONAL LAMPOON'S VAN WILDER,2002,C+
NATIONAL LAMPOON'S VAN WILDER: THE RISE OF TAJ,2006,C
NATIONAL SECURITY,2003,B+
NATIONAL TREASURE,2004,A-
NATIONAL TREASURE: BOOK OF SECRETS,2007,A-
"NATIVITY STORY, THE",2006,A-
NATURAL BORN KILLERS,1994,B-
NAVY SEALS,1990,A-
NECESSARY ROUGHNESS,1991,B
NEED FOR SPEED,2014,B+
NEEDFUL THINGS,1993,B-
"NEGOTIATOR, THE",1998,A
NEIGHBORS,2014,B
NEIGHBORS 2: SORORITY RISING,2016,B
NELL,1994,A
NERVE,2016,A-
"NET, THE",1995,B
NEVER BEEN KISSED,1999,A-
NEVER DIE ALONE,2004,C+
NEVER TALK TO STRANGERS,1995,C+
"NEW GUY, THE",2002,B
NEW IN TOWN,2009,B+
NEW JACK CITY,1991,B+
"NEW LIFE, A",1988,B+
"NEW WORLD, THE",2006,D+
NEW YEAR'S EVE,2011,B+
NEW YORK MINUTE,2004,B
NEW YORK STORIES,1989,B
"NEWTON BOYS, THE",1998,B-
NEXT,2007,B-
"NEXT BEST THING, THE",2000,B-
NEXT FRIDAY,1999,B+
"NEXT KARATE KID, THE",1994,B+
NEXT OF KIN,1989,B-
"NEXT THREE DAYS, THE",2010,B+
"NICE GUYS, THE",2016,B-
NICK AND NORAH'S INFINITE PLAYLIST,2008,B+
NICK OF TIME,1995,B
NIGHT AND THE CITY,1992,C
NIGHT AT THE MUSEUM,2006,A-
NIGHT AT THE MUSEUM: BATTLE OF THE SMITHSONIAN,2009,B+
NIGHT AT THE MUSEUM: SECRET OF THE TOMB,2014,B+
"NIGHT AT THE ROXBURY, A",1998,C-
"NIGHT BEFORE, THE",2015,A-
NIGHT FALLS ON MANHATTAN,1997,B
NIGHT SCHOOL,2018,A-
NIGHTCRAWLER,2014,B-
"NIGHTMARE BEFORE CHRISTMAS, THE",1993,B+
"NIGHTMARE ON ELM STREET, A",2010,C+
NIGHTS IN RODANTHE,2008,B
NIGHTWATCH,1998,C-
NIM'S ISLAND,2008,A-
NINE LIVES,2016,B+
NINE MONTHS,1995,A-
NINJA ASSASSIN,2009,B
"NINTH GATE, THE",2000,D-
NIXON,1995,B
NO ESCAPE,2015,B+
NO GOOD DEED,2014,B+
NO MAN'S LAND,1987,B
NO MERCY,1986,B
NO RESERVATIONS,2007,B+
NO STRINGS ATTACHED,2011,B
NO WAY OUT,1987,B+
NOAH,2014,C
NOBODY'S FOOL,1994,B+
NOBODY'S FOOL,2018,A-
NOISES OFF,1992,A-
NON-STOP,2014,A-
NORBIT,2007,B
NORM OF THE NORTH,2016,B-
NORTH,1994,B-
NORTH COUNTRY,2005,A-
NOT ANOTHER TEEN MOVIE,2001,C+
NOT WITHOUT MY DAUGHTER,1991,A-
"NOTEBOOK, THE",2004,A
NOTHING BUT TROUBLE,1991,D+
NOTHING IN COMMON,1986,A-
NOTHING TO LOSE,1997,A-
NOTTING HILL,1999,B+
"NOVEMBER MAN, THE",2014,B+
NOW AND THEN,1995,B+
NOW YOU SEE ME,2013,A-
NOW YOU SEE ME 2,2016,A-
NOWHERE TO RUN,1993,B+
"NUMBER 23, THE",2007,B-
"NUN, THE",2018,C
NURSE BETTY,2000,C
"NUT JOB 2: NUTTY BY NATURE, THE",2017,B+
"NUT JOB, THE",2014,B
"NUTCRACKER AND THE FOUR REALMS, THE",2018,B+
NUTS,1987,A
NUTTY PROFESSOR 2: THE KLUMPS,2000,A-
"NUTTY PROFESSOR, THE",1996,A-
"O BROTHER, WHERE ART THOU?",2000,B+
"OBJECT OF MY AFFECTION, THE",1998,C+
OBLIVION,2013,B-
OBSERVE AND REPORT,2009,C
OBSESSED,2009,B+
OCEAN'S 11,2001,B+
OCEAN'S 8,2018,B+
OCEAN'S THIRTEEN,2007,B+
OCEAN'S TWELVE,2004,B-
OCTOBER SKY,1999,A
OCULUS,2014,C
"ODD COUPLE 2, THE",1998,B+
"ODD LIFE OF TIMOTHY GREEN, THE",2012,A-
OF MICE AND MEN,1992,A
OFF BEAT,1986,C
OFF LIMITS,1988,B-
OFFICE CHRISTMAS PARTY,2016,B
OFFICE SPACE,1999,C+
OLD DOGS,2009,B+
OLD GRINGO,1989,B
OLD SCHOOL,2003,B+
OLIVER TWIST,2005,C+
OLYMPUS HAS FALLEN,2013,A-
"OMEN, THE",2006,C+
ON DEADLY GROUND,1994,B+
ON THE BASIS OF SEX,2019,A
ON THE LINE,2001,A-
ONCE AROUND,1991,B+
ONCE UPON A CRIME,1992,C+
ONCE UPON A FOREST,1993,B
ONCE UPON A TIME IN HOLLYWOOD,2019,B
ONCE UPON A TIME IN MEXICO,2003,B-
ONE DAY,2011,B-
ONE DIRECTION: THIS IS US,2013,A
ONE FINE DAY,1996,B+
ONE FOR THE MONEY,2012,B-
ONE GOOD COP,1991,B+
ONE HOUR PHOTO,2002,C
ONE MISSED CALL,2008,D
ONE NIGHT AT MC COOL'S,2001,B-
ONE NIGHT STAND,1997,C
ONE TRUE THING,1998,A
"ONE, THE",2001,B
ONLY THE BRAVE,2017,A
ONLY THE LONELY,1991,B+
ONLY THE STRONG,1993,B+
ONLY YOU,1994,A-
OPEN RANGE,2003,A-
OPEN SEASON,2006,A-
OPERATION DUMBO DROP,1995,A-
OPERATION FINALE,2018,A-
OPPORTUNITY KNOCKS,1990,A-
ORANGE COUNTY,2002,B
"ORDER, THE",2003,D+
ORIGINAL SIN,2001,C+
ORPHAN,2009,B-
OSCAR,1991,B
OSMOSIS JONES,2001,B-
OTHELLO,1996,A-
"OTHER GUYS, THE",2010,B-
OTHER PEOPLE'S MONEY,1991,B-
"OTHER SISTER, THE",1999,A
"OTHER WOMAN, THE",2014,B+
"OTHERS, THE",2001,B
OUIJA,2014,C
OUIJA: ORIGIN OF EVIL,2016,C
OUR BRAND IS CRISIS,2015,C+
OUR FAMILY WEDDING,2010,A-
OUR IDIOT BROTHER,2011,C+
OUT COLD,2001,B+
OUT FOR JUSTICE,1991,B+
OUT OF BOUNDS,1986,B-
OUT OF SIGHT,1998,B-
OUT OF THE FURNACE,2013,C+
OUT OF TIME,2003,B+
"OUT OF TOWNERS, THE",1999,B-
OUT TO SEA,1997,B+
OUTBREAK,1995,A-
OUTRAGEOUS FORTUNE,1987,A-
OUTSIDE PROVIDENCE,1999,B
OVER HER DEAD BODY,2008,C+
OVER THE HEDGE,2006,A
OVER THE TOP,1987,B+
OVERBOARD,1987,A-
OVERBOARD,2018,A-
OVERLORD,2018,B
OZ THE GREAT AND POWERFUL,2013,B+
P.S. I LOVE YOU,2007,A-
PACIFIC HEIGHTS,1990,B
PACIFIC RIM,2013,A-
PACIFIC RIM UPRISING,2018,B
"PACIFIER, THE",2005,A-
"PACKAGE, THE",1989,B+
PADDINGTON,2015,A
PADDINGTON 2,2018,A
"PAGEMASTER, THE",1994,A-
PAIN AND GAIN,2013,C+
"PALLBEARER, THE",1996,B-
PALMETTO,1998,D+
PAN,2015,B+
PANIC ROOM,2002,B
PAPARAZZI,2004,B
PAPER TOWNS,2015,B+
"PAPER, THE",1994,B+
PARADISE,1991,A-
PARADISE ROAD,1997,A-
PARANOIA,2013,C+
PARANORMAL ACTIVITY 2,2010,B
PARANORMAL ACTIVITY 3,2011,C+
PARANORMAL ACTIVITY 4,2012,C
PARANORMAL ACTIVITY: THE GHOST DIMENSION,2015,C
PARANORMAL ACTIVITY: THE MARKED ONES,2014,C-
PARANORMAN,2012,B+
"PARENT TRAP, THE",1998,A
PARENTAL GUIDANCE,2012,A-
PARENTHOOD,1989,A
PARKER,2013,B+
PASSED AWAY,1992,B-
PASSENGER 57,1992,B
PASSENGERS,2016,B
"PASSION OF THE CHRIST, THE",2004,A+
PATCH ADAMS,1998,A
PATHFINDER,2007,C-
PATRIOT GAMES,1992,A-
"PATRIOT, THE",2000,A
PATRIOTS DAY,2017,A+
PAUL,2011,B+
PAUL BLART: MALL COP,2009,B
PAUL BLART: MALL COP 2,2015,B-
PAULIE,1998,A-
PAY IT FORWARD,2000,A
PAYBACK,1999,B-
PAYCHECK,2003,B-
PCU,1994,C
"PEACEMAKER, THE",1997,B+
"PEANUTS MOVIE, THE",2015,A
PEARL HARBOR,2001,A-
PEGGY SUE GOT MARRIED,1986,B+
"PELICAN BRIEF, THE",1993,B+
PENGUINS,2019,A
PENGUINS OF MADAGASCAR,2014,A-
PEOPLE LIKE US,2012,B+
"PEOPLE VS. LARRY FLYNT, THE",1996,B+
PEPPERMINT,2018,B+
PERCY JACKSON & THE OLYMPIANS: LIGHTNING THIEF,2010,B+
PERCY JACKSON: SEA OF MONSTERS,2013,B+
"PERFECT GETAWAY, A",2009,B-
"PERFECT GUY, THE",2015,A-
"PERFECT MAN, THE",2005,B+
"PERFECT MURDER, A",1998,B
"PERFECT SCORE, THE",2004,B
"PERFECT STORM, THE",2000,B+
PERFECT STRANGER,2007,C+
"PERFECT WEAPON, THE",1991,B
"PERFECT WORLD, A",1993,B+
"PEST, THE",1997,B
PET SEMATARY,1989,B
PET SEMATARY,2019,C+
PET SEMATARY 2,1992,B
PETE'S DRAGON,2016,A
PETER PAN,2003,A-
PETER RABBIT,2018,A-
"PHANTOM OF THE OPERA, THE",2004,A
"PHANTOM, THE",1996,B+
PHENOMENON,1996,A-
PHILADELPHIA,1993,A
PHOENIX FORGOTTEN,2017,C-
PHONE BOOTH,2003,C+
PHYSICAL EVIDENCE,1989,C
"PICK UP ARTIST, THE",1987,C
PICTURE PERFECT,1997,B-
PIGLET'S BIG MOVIE,2003,A
PINEAPPLE EXPRESS,2008,B+
PINK CADILLAC,1989,C
PINK PANTHER 2,2009,B+
"PINK PANTHER, THE",2006,B
PINOCCHIO,2002,D+
PIRANHA 3D,2010,C
PIRATES OF THE CARIBBEAN: AT WORLD'S END,2007,A-
PIRATES OF THE CARIBBEAN: CURSE OF THE BLACK PEARL,2003,A
PIRATES OF THE CARIBBEAN: DEAD MAN'S CHEST,2006,A-
PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES,2017,A-
PIRATES OF THE CARIBBEAN: ON STRANGER TIDES,2011,B+
"PIRATES! BAND OF MISFITS, THE",2012,B
PITCH PERFECT 2,2015,A-
PITCH PERFECT 3,2017,A-
PIXELS,2015,B
PLANES,2013,A-
PLANES TRAINS AND AUTOMOBILES,1987,B+
PLANES: FIRE AND RESCUE,2014,A
PLANET 51,2009,B+
PLANET OF THE APES,2001,B-
PLATOON,1986,A
PLAY IT TO THE BONE,1999,D
PLAYING BY HEART,1998,B+
PLAYING FOR KEEPS,2012,B+
PLAYING GOD,1997,C
PLEASANTVILLE,1998,B
"PLEDGE, THE",2001,D
POCAHONTAS,1995,A-
POETIC JUSTICE,1993,B+
POINT BREAK,1991,B+
POINT BREAK,2015,B
POINT OF NO RETURN,1993,B
POKEMON 3,2001,A-
POKEMON DETECTIVE PIKACHU,2019,A-
POKEMON THE FIRST MOVIE,1999,A-
POKEMON THE MOVIE: 2000,2000,A-
"POLAR EXPRESS, THE",2004,A+
POLICE ACADEMY 3,1986,B+
POLICE ACADEMY 4,1987,B-
POLICE ACADEMY 5,1988,B
POLICE ACADEMY 6,1989,B-
POLTERGEIST,2015,C+
POLTERGEIST 2,1986,B-
POLTERGEIST 3,1988,C
POMPEII,2014,B
POMS,2019,B+
POOH'S HEFFALUMP MOVIE,2005,A
POOTIE TANG,2001,C+
POPSTAR: NEVER STOP NEVER STOPPING,2016,B
"PORTRAIT OF A LADY, THE",1996,B-
POSEIDON,2006,B
"POSSESSION OF HANNAH GRACE, THE",2018,C-
"POSSESSION, THE",2012,B
POST GRAD,2009,B
"POST, THE",2018,A
POSTCARDS FROM THE EDGE,1990,A-
"POSTMAN, THE",1997,B-
POWDER,1995,A-
POWER,1986,C-
"POWER OF ONE, THE",1992,A
POWER RANGERS,2017,A
"POWERPUFF GIRLS MOVIE, THE",2002,B
PRACTICAL MAGIC,1998,B-
"PREACHER'S WIFE, THE",1996,A
PREDATOR,1987,B+
PREDATOR 2,1990,B+
"PREDATOR, THE",2018,C+
PREDATORS,2010,C+
PRELUDE TO A KISS,1992,B-
PREMIUM RUSH,2012,B
PREMONITION,2007,C
"PRESIDIO, THE",1988,B+
"PRESTIGE, THE",2006,B
PRESUMED INNOCENT,1990,A-
PRETTY IN PINK,1986,B+
PRETTY WOMAN,1990,A
PRICE OF GLORY,2000,A
PRIDE,2007,A-
PRIDE AND GLORY,2008,B-
PRIDE AND PREJUDICE,2005,A-
PRIDE AND PREJUDICE AND ZOMBIES,2016,B-
PRIEST,2011,C+
PRIMAL FEAR,1996,B+
PRIMARY COLORS,1998,B
PRIME,2005,B-
PRIMEVAL,2007,D+
"PRINCE AND ME, THE",2004,B+
PRINCE OF DARKNESS,1987,B
"PRINCE OF EGYPT, THE",1998,A
PRINCE OF PERSIA: THE SANDS OF TIME,2010,B
"PRINCE OF TIDES, THE",1991,A
PRINCESS AND THE FROG,2009,A
"PRINCESS BRIDE, THE",1987,A+
PRINCESS CARABOO,1994,B+
PRINCESS DIARIES 2: ROYAL ENGAGEMENT,2004,A-
"PRINCESS DIARIES, THE",2001,A
"PRINCIPAL, THE",1987,B
PRISONERS,2013,B+
PRIVATE PARTS,1997,A
PROBLEM CHILD,1990,A-
PROBLEM CHILD 2,1991,B+
"PRODIGY, THE",2019,C+
"PRODUCERS, THE",2005,B+
"PROFESSIONAL, THE",1994,B
"PROGRAM, THE",1993,B+
PROJECT ALMANAC,2015,B
PROJECT X,1987,A-
PROJECT X,2012,B
PROM,2011,B+
PROM NIGHT,2008,B-
PROMETHEUS,2012,B
"PROMISE, THE",2017,A-
PROMISED LAND,2013,B
PROOF OF LIFE,2000,B
"PROPOSAL, THE",2009,A-
PROUD MARY,2018,B+
PSYCHO,1998,C-
PSYCHO 3,1986,B-
PUBLIC ENEMIES,2009,B
"PUBLIC EYE, THE",1992,B+
PULP FICTION,1994,B+
PUNCH-DRUNK LOVE,2002,D+
PUNCHLINE,1988,A-
"PUNISHER, THE",2004,B+
PUNISHER: WAR ZONE,2008,B-
"PUPPET MASTERS, THE",1994,B-
PURE COUNTRY,1992,A-
PURE LUCK,1991,B
"PURGE, THE",2013,C
"PURGE: ANARCHY, THE",2014,B
"PURGE: ELECTION YEAR, THE",2016,B+
"PURSUIT OF HAPPYNESS, THE",2006,A
PUSHING TIN,1999,C
PUSS IN BOOTS,2011,A-
Q&A;,1990,C
QUANTUM OF SOLACE,2008,B-
QUARANTINE,2008,C
"QUEEN OF THE DAMNED, THE",2002,C+
"QUEST FOR CAMELOT, THE",1998,B+
"QUEST, THE",1996,B
"QUICK AND THE DEAD, THE",1995,C+
QUICK CHANGE,1990,B
QUICKSILVER,1986,B-
"QUIET ONES, THE",2014,C+
"QUIET PLACE, A",2018,B+
QUIGLEY DOWN UNDER,1990,A-
QUIZ SHOW,1994,A-
R.I.P.D.,2013,C+
RACE,2016,A
RACE TO WITCH MOUNTAIN,2009,B+
RACING STRIPES,2005,A
RADIO,2003,A
RADIO DAYS,1986,A-
RADIO FLYER,1992,B+
"RAGE CARRIE 2, THE",1999,C+
RAIN MAN,1988,A
"RAINMAKER, THE",1997,A-
RAISE YOUR VOICE,2004,A-
RAISING ARIZONA,1987,B
RAISING CAIN,1992,C-
RAISING HELEN,2004,B+
RALPH BREAKS THE INTERNET,2018,A-
RAMBO,2008,A-
RAMBO 3,1988,B+
RAMONA AND BEEZUS,2010,A-
RAMPAGE,2018,A-
RANDOM HEARTS,1999,C-
RANGO,2011,C+
RANSOM,1996,A-
RAPID FIRE,1992,B+
RAT RACE,2001,B+
RATATOUILLE,2007,A
RATCHET AND CLANK,2016,B
"RAVEN, THE",2012,B
RAVENOUS,1999,D
RAW DEAL,1986,B
RAY,2004,A+
READY PLAYER ONE,2018,A-
READY TO RUMBLE,2000,B-
"REAL CANCUN, THE",2003,C-
"REAL MCCOY, THE",1993,B-
REAL STEEL,2011,A
REALITY BITES,1994,B+
"REAPING, THE",2007,B-
REBOUND,2005,A-
RECESS: SCHOOL'S OUT,2001,A-
"RECRUIT, THE",2003,B+
RED,2010,A-
RED 2,2013,B+
RED CORNER,1997,B
RED DAWN,2012,B
RED DRAGON,2002,A-
RED EYE,2005,B
RED HEAT,1988,B
RED PLANET,2000,C
RED RIDING HOOD,2011,B-
RED SPARROW,2018,B
RED TAILS,2012,A
"REF, THE",1994,B+
REGARDING HENRY,1991,A-
REIGN OF FIRE,2002,B
REIGN OVER ME,2007,A-
REINDEER GAMES,2000,C-
"RELIC, THE",1997,B-
"REMAINS OF THE DAY, THE",1993,A-
REMEMBER ME,2010,B
REMEMBER THE TITANS,2000,A+
RENAISSANCE MAN,1994,A-
RENDITION,2007,B+
RENEGADES,1989,B
RENO 911!: MIAMI,2007,C+
RENT,2005,A-
RENT A COP,1988,C+
"REPLACEMENT KILLERS, THE",1998,B-
"REPLACEMENTS, THE",2000,A-
REPLICAS,2019,C
REPO MEN,2010,B
RESIDENT EVIL,2002,B
RESIDENT EVIL: AFTERLIFE,2010,B-
RESIDENT EVIL: APOCALYPSE,2004,B
RESIDENT EVIL: EXTINCTION,2007,B-
RESIDENT EVIL: RETRIBUTION,2012,C+
RESIDENT EVIL: THE FINAL CHAPTER,2017,B
RETURN TO ME,2000,A
RETURN TO NEVERLAND,2002,A
RETURN TO PARADISE,1998,B
RETURN TO SNOWY RIVER,1988,A-
RETURN TO THE BLUE LAGOON,1991,B
"REVENANT, THE",2016,B+
REVENGE,1990,B-
REVENGE OF THE NERDS 2,1987,C
REVERSAL OF FORTUNE,1990,B-
"RICH MAN'S WIFE, THE",1996,B
RICHIE RICH,1994,A-
RICKI AND THE FLASH,2015,B
RICOCHET,1991,B
RIDDICK,2013,B
RIDE ALONG,2014,A
RIDE ALONG 2,2016,B+
RIDING IN CARS WITH BOYS,2001,B+
"RING TWO, THE",2005,C+
"RING, THE",2002,B-
RINGS,2017,C-
RIO,2011,A
RIO 2,2014,A
RISE OF THE GUARDIANS,2012,A
RISE OF THE PLANET OF THE APES,2011,A-
RISEN,2016,A-
RISING SUN,1993,B
"RITE, THE",2011,B
"RIVER RUNS THROUGH IT, A",1992,A-
"RIVER WILD, THE",1994,A-
ROAD HOUSE,1989,B
"ROAD TO EL DORADO, THE",2000,B+
ROAD TO PERDITION,2002,B+
"ROAD TO WELLVILLE, THE",1994,C-
ROAD TRIP,2000,B+
ROB ROY,1995,B+
ROBIN HOOD,2010,B-
